"","Username","Post","Time"
"1","twinkle07","  
----------------
This year marks the 50th anniversary of National Service (NS), a rite of passage for every Singaporean son, and Channel 8 is collaborating with MINDEF and the Ministry of Home Affairs (MHA) to commemorate the milestone with upcoming NS50 drama When Duty Calls.
A bevy of top local stars will be suiting up in camouflaged gear to portray various military personnel, from new recruits to reservists and high-ranking commanders. Some of them, including Shane Pow, will even be shaving their heads.
“This is my second time shaving my head for a role, but I’m fine with it as this is my last time playing a recruit!” exclaimed the 26-year-old actor, who also went bald for 2013’s The Recruit Diaries, in an interview with Toggle at yesterday’s (Feb 20) lensing ceremony.
In addition, the former Manhunt finalist, who plays a naval officer trainee, will have a topless scene in the show, and promised to showcase a much better physique compared to his previous body-baring adventure in last year’s House of Fortune. “I’m going to go back to a stricter diet and spend more time training,” he said. “I aim to look like a proper soldier instead of a reservist who eats too much! (laughs)”
While Shane’s co-star, famed “hunkle” Zheng Ge Ping, is not required to forgo his shirt at the moment, there is a possibility for that to be arranged. However, the 52-year-old, who plays an Air Force pilot, told us that he will have a discussion with the director beforehand as he feels that his current form is not 100 percent up to his high standards (just “75 to 80 percent” there, in case anyone’s wondering).
As for Romeo Tan, who plays a company commander, he’s aiming for a sun-kissed complexion when filming commences. “I’m naturally very fair, so I need to work harder to maintain a slight tan – but I won’t be as dark as Desmond (Tan)!” said the 31-year-old with a laugh.
The ladies of 'When Duty Calls': Jasmine Sim, Paige Chua, Felicia Chin
Two of the roses among the thorns are Felicia Chin and Paige Chua, who play a combat medic and navy captain respectively.
Felicia, who now sports drastically cropped locks (courtesy of celebrity coiffurist David Gan), jokingly complained that her hair is now shorter than that of boyfriend Jeffrey Xu’s, but gushed about how much easier it is to take care of. The makeover was suggested by her stylists, who thought it would suit her and her character.
Besides the mane change, the 32-year-old is also watching war films, such as Hacksaw Ridge, to prepare for her role. She also plans to bulk up slightly in order to look more convincing as a fit army medical officer.
When we asked Paige why she didn’t follow in Feli’s footsteps and go for a short cut, the 35-year-old actress shared that it wasn’t her call. “I also thought I would need to look like a tough cookie, but my character, while firm and fierce when she’s on duty, is actually very gentle and feminine,” she said.
Paige also revealed a surprising fact about herself: before she went into modelling, she considered joining the military, and even applied to become a paramedic (however, she was rejected). “I was physically active so while I don’t think I’d made a perfect soldier, I wouldn’t be too bad!”
While their onscreen military journey is about to begin, the male cast members already had army day tales to regale us with: who rated himself a 9.9 upon 10 on the “siao on” (over enthusiastic) scale, and who had a terrifying supernatural encounter on Pulau Tekong? Read on for more:
When Duty Calls premieres July 31, 9pm on Channel 8.http://entertainment.toggle.sg/en/lo...60#slideshow-3","		
			
			
			21-02-2017, 01:03 PM
			
							
		"
"2","twinkle07","","		
			
			
			21-02-2017, 01:04 PM
			
							
		"
"3","twinkle07","","		
			
			
			21-02-2017, 01:04 PM
			
							
		"
"4","kcarrey","only sheeples watch mediacorpse shows","		
			
			
			21-02-2017, 01:05 PM
			
							
		"
"5","Ottoke","卫国先锋 When Duty Calls Debuts 31 July 2017, Every Mon - Fri 9pm, Channel 8Total eps: 20Encore timeslot: Every Mon - Fri, 8am
Show added to this list.Cast
Romeo Tan as Xu Longbin
Desmond Tan as Lu Junguang
Pierre Png as Chen Jinbao
Felicia Chin as Bai Jingyu
Paige Chua as Shen Yixuan
James Seah as Xie Mingyao
Shane Pow as Yao Weiguo
Zheng Geping as Yang Yongzheng
Hong Huifang as Zhu Cuihua
Kym Ng as Lu Meiguang
Richie Koh as Lu Xianfeng
Jasmine Sim as Shen Yiyun
Mei Xin as Yao Yixin
Li Wenhai as Chen Weirong
Brian Ng
Darryl Yong as Li HongxunTheme Songs
以刚克刚 by Desmond Ng and Kenny Khoo
一直都在 by Alfred Sim
关怀新方式 by Desmond Tan & Felicia Chin
以为的以为 by Alfred Sim & Tay KeweiProduction Period
March - May 2017Preceded by: 相信我 Have A Little FaithFollowed by: 爱不迟疑 My Teacher Is A Thug","		
			
			
			21-02-2017, 01:05 PM
			
							
		"
"6","midnightpapa","Knn, whole lot never cut your hair.. Everyone knock it down....","		
			
			
			21-02-2017, 01:06 PM
			
							
		"
"7","HyperBaka","jin satki menz","		
			
			
			21-02-2017, 01:07 PM
			
							
		"
"8","shaojie2k","got any ah tiongs casted as NSmen?","		
			
			
			21-02-2017, 01:10 PM
			
							
		"
"9","sciprof","why zhang zhen huan ah tiong nv cast in this drama?","		
			
			
			21-02-2017, 01:10 PM
			
							
		"
"10","5adisticD3vil","lol full propaganda mode on","		
			
			
			21-02-2017, 01:11 PM
			
							
		"
